_id,name,light,water,image,__v
687f9f42f3f1f2ed63d8f4c4,Snake Plant,Low to bright indirect,Every 2–3 weeks,https://media.houseandgarden.co.uk/photos/6736030759a56cf43ffed622/master/w_1600%2Cc_limit/517540986,0
687f9f42f3f1f2ed63d8f4c5,Spider Plant,Bright indirect,Weekly,https://media.houseandgarden.co.uk/photos/66e02c4143ff56cb528fe5b6/master/w_1600%2Cc_limit/08-01-24-HG-Crisp242.jpg,0
687f9f42f3f1f2ed63d8f4c6,Peace Lily,Low to medium,Weekly (keep soil moist),https://cdn11.bigcommerce.com/s-fr32feerow/product_images/uploaded_images/peace-lily-01.jpg,0
687f9f42f3f1f2ed63d8f4c7,ZZ Plant,Low to bright indirect,Every 2–3 weeks,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTLaELkAXn3Q0R4c2x01ppMpsrUdRkNcR_X-Q&s,0
687f9f42f3f1f2ed63d8f4c8,Aloe Vera,Bright direct,Every 2–3 weeks (let dry out),https://cdn.shopify.com/s/files/1/0691/8363/5772/files/Aloe_Vera_Plant2_1_600x600.jpg?v=1740762354,0
687f9f42f3f1f2ed63d8f4c9,Pothos,Low to medium,Weekly,https://www.marthastewart.com/thmb/9etIquryA7k90xAxOOOwAVZMA60=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/GettyImages-2170686151-675aeaba15364e1c876dc485f7e6d8d8.jpg,0
687f9f42f3f1f2ed63d8f4ca,Monstera Deliciosa,Bright indirect,Weekly,https://florastore.com/cdn/shop/files/1711701_Atmosphere_04_SQ_MJ.jpg?v=1751966314&width=1080,0
687f9f42f3f1f2ed63d8f4cb,Chinese Evergreen,Low to medium,Every 1–2 weeks,https://www.gardendesign.com/pictures/images/900x705Max/site_3/igneous-timeless-tides-chinese-evergreen-aglaonema-commutatum-proven-winners_19182.jpg,0
687f9f42f3f1f2ed63d8f4cc,Rubber Plant,Bright indirect,Weekly,https://abeautifulmess.com/wp-content/uploads/2023/06/rubbertree-10.jpg,0
687f9f42f3f1f2ed63d8f4cd,Calathea,Low to medium, Every 5–7 days (likes humidity),"https://media.greg.app/cGxhbnQtZGItcGhvdG9zL0NhbGF0aGVhX21lZGFsbGlvbi5qcGc=?format=pjpeg&optimize=high&auto=webp&precrop=1000:1000,smart&fit=crop&width=1000&height=1000",0
